threshold,micro_f1_score,macro_f1_score,precision,recall,exact_match,accuracy
0.01,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.02,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.03,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.04,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.05,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.060000000000000005,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.06999999999999999,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.08,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.09,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.09999999999999999,0.04895738893925657,0.02509293680297398,0.02509293680297398,1.0,0.0,0.5192307829856873
0.11,0.049001814882032674,0.02509293680297398,0.025116279069767444,1.0,0.0,0.529411792755127
0.12,0.049001814882032674,0.02509293680297398,0.025116279069767444,1.0,0.0,0.529411792755127
0.13,0.049001814882032674,0.02509293680297398,0.025116279069767444,1.0,0.0,0.529411792755127
0.14,0.049001814882032674,0.02509293680297398,0.025116279069767444,1.0,0.0,0.529411792755127
0.15000000000000002,0.049001814882032674,0.02509293680297398,0.025116279069767444,1.0,0.0,0.529411792755127
0.16,0.049001814882032674,0.02509293680297398,0.025116279069767444,1.0,0.0,0.529411792755127
0.17,0.04909090909090909,0.02509293680297398,0.02516309412861137,1.0,0.0,0.5510203838348389
0.18000000000000002,0.04927007299270073,0.02509293680297398,0.025257249766136577,1.0,0.0,0.6000000238418579
0.19,0.04963235294117647,0.02509293680297398,0.02544769085768143,1.0,0.0,0.7297297120094299
0.2,0.0509433962264151,0.02509293680297398,0.026137463697967087,1.0,0.0,3.0
0.21000000000000002,0.05445026178010471,0.024163568773234202,0.028017241379310345,0.9629629629629629,0.0,0.16149067878723145
0.22,0.05563282336578581,0.01858736059479554,0.028901734104046242,0.7407407407407407,0.0,0.10695187002420425
0.23,0.07441860465116279,0.01486988847583643,0.03970223325062035,0.5925925925925926,0.0,0.10126582533121109
0.24000000000000002,0.11522633744855967,0.013011152416356878,0.06481481481481481,0.5185185185185185,0.0,0.061135370284318924
0.25,0.14084507042253522,0.00929368029739777,0.08695652173913043,0.37037037037037035,0.0,0.07575757801532745
0.26,0.17499999999999996,0.006505576208178439,0.1320754716981132,0.25925925925925924,0.0,0.09589041024446487
0.27,0.19047619047619047,0.0037174721189591076,0.26666666666666666,0.14814814814814814,0.0,0.10526315867900848
0.28,0.1818181818181818,0.0027881040892193307,0.5,0.1111111111111111,0.0,0.10000000149011612
0.29000000000000004,0.13333333333333333,0.0018587360594795538,0.6666666666666666,0.07407407407407407,0.0,0.0714285746216774
0.3,0.06896551724137931,0.0009293680297397769,0.5,0.037037037037037035,0.0,0.0357142873108387
0.31,0.06896551724137931,0.0009293680297397769,0.5,0.037037037037037035,0.0,0.0357142873108387
0.32,0.06896551724137931,0.0009293680297397769,0.5,0.037037037037037035,0.0,0.0357142873108387
0.33,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0,0.0,0.0,0.0
