threshold,micro_f1_score,macro_f1_score,precision,recall,exact_match,accuracy
0.01,0.1648264984227129,0.15840906705034874,0.08981521272024064,1.0,0.0,0.08981529623270035
0.02,0.1648264984227129,0.15840906705034874,0.08981521272024064,1.0,0.0,0.08981529623270035
0.03,0.1648264984227129,0.15840906705034874,0.08981521272024064,1.0,0.0,0.08981529623270035
0.04,0.1648264984227129,0.15840906705034874,0.08981521272024064,1.0,0.0,0.08981529623270035
0.05,0.1648264984227129,0.15840906705034874,0.08981521272024064,1.0,0.0,0.08981529623270035
0.060000000000000005,0.1648264984227129,0.15840906705034874,0.08981521272024064,1.0,0.0,0.08981529623270035
0.06999999999999999,0.17194570135746606,0.15960564824692994,0.09411259131929524,1.0,0.0,0.09411253780126572
0.08,0.1758985200845666,0.1575543661956479,0.09640452657212435,0.994413407821229,0.0,0.09640445560216904
0.09,0.17649554518455662,0.1575543661956479,0.0968342644320298,0.994413407821229,0.0,0.0968342050909996
0.09999999999999999,0.17649554518455662,0.1575543661956479,0.0968342644320298,0.994413407821229,0.0,0.0968342050909996
0.11,0.17649554518455662,0.1575543661956479,0.0968342644320298,0.994413407821229,0.0,0.0968342050909996
0.12,0.17649554518455662,0.1575543661956479,0.0968342644320298,0.994413407821229,0.0,0.0968342050909996
0.13,0.1765704584040747,0.1576324567259997,0.0968765871000508,0.994413407821229,0.0,0.09687652438879013
0.14,0.17664543524416138,0.1576509334153465,0.09696123243609278,0.994413407821229,0.0,0.09696117788553238
0.15000000000000002,0.1768707482993197,0.1577535711071991,0.09709666497375996,0.994413407821229,0.0,0.09709660708904266
0.16,0.17884780739466896,0.15853864350038102,0.09832684385757012,0.994413407821229,0.0,0.09832679480314255
0.17,0.1826965305226175,0.1602175988571151,0.10073923593476668,0.994413407821229,0.0,0.10073921829462051
0.18000000000000002,0.18676337262012696,0.16052559813972347,0.10346481575531857,0.9832402234636871,0.0,0.10346481949090958
0.19,0.1908325537885875,0.1571044744130684,0.1060225156593872,0.9757914338919925,0.0,0.10593792796134949
0.2,0.19391634980988592,0.15834783949845968,0.10792522189170235,0.9757914338919925,0.0,0.1078406572341919
0.21000000000000002,0.1971014492753623,0.1599003762121099,0.1100744072811112,0.9757914338919925,0.0,0.10998985916376114
0.22,0.19960861056751467,0.16158718860221943,0.11182273654340694,0.9757914338919925,0.0,0.11173819750547409
0.23,0.20288413724515167,0.16365095502295096,0.11404649044313848,0.9757914338919925,0.0,0.11396192759275436
0.24000000000000002,0.2047643182970096,0.16407927342345807,0.11537683297459836,0.967411545623836,0.0,0.11521467566490173
0.25,0.2087227414330218,0.16641971168959183,0.11860423871597059,0.9618249534450651,0.0,0.11844206601381302
0.26,0.21281101111699313,0.168990230226072,0.12138040420163325,0.9618249534450651,0.0,0.12121820449829102
0.27,0.21478683216405828,0.17002572099549973,0.12274198489282286,0.9562383612662941,0.0,0.12238024175167084
0.28,0.21902654867256635,0.17287975046031256,0.1258202536135497,0.9506517690875232,0.0,0.12542523443698883
0.29000000000000004,0.22372881355932203,0.1761948095710874,0.12897853233048764,0.9506517690875232,0.0,0.12855026125907898
0.3,0.22761409589832465,0.17927943479483327,0.13200802921473312,0.9450651769087522,0.0,0.13152651488780975
0.31,0.23140495867768593,0.18134264130185598,0.1353148403427733,0.9422718808193667,0.0,0.13471661508083344
0.32,0.2327272727272727,0.18118027325616673,0.13679311067579222,0.925512104283054,0.0,0.1360175609588623
0.33,0.2296710117939168,0.1771751737535485,0.13659560489169428,0.8891992551210428,0.0,0.13564269244670868
0.34,0.23223350253807107,0.1760843250056723,0.13846183301490564,0.8808193668528863,0.0,0.1373533457517624
0.35000000000000003,0.2359040829552819,0.17641789384173537,0.14195103468846484,0.8752327746741154,0.0,0.1408092975616455
0.36000000000000004,0.23825281270681667,0.17737221179750776,0.14355345151434537,0.8640595903165735,0.0,0.1424117088317871
0.37,0.2413087934560327,0.17934457919849875,0.14590558417374058,0.8500931098696461,0.0,0.1446152776479721
0.38,0.2408963585434174,0.1732857260619443,0.1463866518335792,0.8277467411545624,0.0,0.1448148488998413
0.39,0.2446043165467626,0.1752930787725625,0.1505320563979782,0.8193668528864059,0.0,0.1487385630607605
0.4,0.2470414201183432,0.1778997432643862,0.15246962844728207,0.8026070763500932,0.0,0.15060074627399445
0.41000000000000003,0.25037707390648567,0.18071131375801683,0.15464662587567615,0.7970204841713223,0.0,0.15272454917430878
0.42000000000000004,0.2540415704387991,0.18196198923932996,0.15897180101090713,0.7942271880819368,0.0,0.15682803094387054
0.43,0.2602523659305994,0.18767893126129861,0.16480225237208476,0.7942271880819368,0.0,0.16237473487854004
0.44,0.25967741935483873,0.1808259605130737,0.16600824687416865,0.7793296089385475,0.0,0.1630885750055313
0.45,0.26556016597510373,0.18528424955205594,0.1698124501197127,0.7737430167597765,0.0,0.16677753627300262
0.46,0.26949152542372884,0.1834119587120401,0.1729937039992906,0.7681564245810056,0.0,0.1698501855134964
0.47000000000000003,0.2689956331877729,0.1799479403525402,0.17329076882149508,0.7430167597765364,0.0,0.16981475055217743
0.48000000000000004,0.2751131221719457,0.18276243711124104,0.17842067925866809,0.7318435754189944,0.0,0.1744968593120575
0.49,0.27803521779425394,0.1827175266463953,0.18175933315598117,0.723463687150838,0.0,0.1779019981622696
0.5,0.28110161443494774,0.1837926875801362,0.18450607431054356,0.7122905027932961,0.0,0.1803760677576065
0.51,0.28239845261121854,0.18498816299939205,0.18404052496231268,0.7048417132216014,0.0,0.17935185134410858
0.52,0.28486055776892427,0.1850336550246743,0.18742573379444885,0.6908752327746741,0.0,0.18217836320400238
0.53,0.28512820512820514,0.18156492936947913,0.19063802429724216,0.6741154562383612,0.0,0.184492826461792
0.54,0.2863157894736842,0.16971115861539382,0.19528686707457654,0.6601489757914338,0.0,0.1886361986398697
0.55,0.28665207877461707,0.16522059221809357,0.19531346989447546,0.6387337057728119,0.0,0.1885763555765152
